version,time,parallelism
host,4.361,0
ranks=1,39.76,1
ranks=1,20.24,2
ranks=1,10.48,4
ranks=1,7.23,6
ranks=1,5.60,8
ranks=1,4.62,10
ranks=1,4.25,12
ranks=1,4.26,14
ranks=1,4.26,16
ranks=1,4.26,18
ranks=1,4.24,20
ranks=1,4.23,22

ranks=2,22.73,1
ranks=2,11.64,2
ranks=2,6.18,4
ranks=2,4.41,6
ranks=2,3.47,8
ranks=2,3.19,10
ranks=2,2.80,12
ranks=2,3.44,14
ranks=2,2.78,16
ranks=2,2.81,18
ranks=2,2.88,20
ranks=2,2.86,22

ranks=3,20.70,1
ranks=3,10.85,2
ranks=3,5.85,4
ranks=3,4.20,6
ranks=3,3.43,8
ranks=3,2.96,10
ranks=3,2.78,12
ranks=3,2.78,14
ranks=3,2.78,16
ranks=3,2.81,18
ranks=3,2.77,20
ranks=3,2.79,22

ranks=4,20.50,1
ranks=4,10.62,2
ranks=4,5.76,4
ranks=4,4.22,6
ranks=4,3.47,8
ranks=4,3.04,10
ranks=4,2.82,12
ranks=4,2.83,14
ranks=4,2.82,16
ranks=4,2.80,18
ranks=4,2.83,20
ranks=4,2.80,22

ranks=8,19.63,1
ranks=8,10.37,2
ranks=8,5.75,4
ranks=8,4.19,6
ranks=8,3.41,8
ranks=8,2.96,10
ranks=8,2.78,12
ranks=8,2.76,14
ranks=8,2.78,16
ranks=8,2.76,18
ranks=8,2.77,20
ranks=8,2.79,22
