size,DPUs,time(s),rate(MB/s)
64,1,0.142742,448.361
128,2,0.142748,896.685
192,3,0.142789,1344.64
256,4,0.142745,1793.41
320,5,0.142799,2240.91
384,6,0.142762,2689.79
448,7,0.142697,3139.52
512,8,0.142696,3588.05
576,9,0.142654,4037.74
640,10,0.142702,4484.87
704,11,0.142679,4934.15
768,12,0.1427,5381.92
832,13,0.142681,5831.19
896,14,0.142673,6280.1
960,15,0.142678,6728.44
1024,16,0.142666,7177.6
1088,17,0.142673,7625.83
1152,18,0.142708,8072.43
1216,19,0.142685,8522.27
1280,20,0.14269,8970.5
1344,21,0.142691,9418.95
1408,22,0.142664,9869.34
1472,23,0.142688,10316.2
1536,24,0.142705,10763.5
1600,25,0.14266,11215.5
1664,26,0.142674,11663
1728,27,0.142704,12109
1792,28,0.142696,12558.2
1856,29,0.142702,13006.1
1920,30,0.142685,13456.2
1984,31,0.142681,13905.1
2048,32,0.142699,14351.9
2112,33,0.142699,14800.4
2176,34,0.14268,15250.9
2240,35,0.142712,15695.9
2304,36,0.14269,16146.9
2368,37,0.142686,16595.9
2432,38,0.142665,17046.9
2496,39,0.142695,17491.9
2560,40,0.142697,17940.1
2624,41,0.142695,18388.9
2688,42,0.142707,18835.8
2752,43,0.142695,19285.9
2816,44,0.14269,19735.1
2880,45,0.142694,20183
2944,46,0.142685,20632.9
3008,47,0.142687,21081.1
3072,48,0.142678,21531
3136,49,0.142699,21976.3
3200,50,0.142693,22425.8
3264,51,0.142698,22873.5
3328,52,0.142659,23328.4
3392,53,0.142657,23777.3
3456,54,0.142685,24221.2
3520,55,0.142689,24669
3584,56,0.142695,25116.5
3648,57,0.142686,25566.6
3712,58,0.142678,26016.6
3776,59,0.142705,26460.2
3840,60,0.1427,26909.6
3904,61,0.142676,27362.7
3968,62,0.142687,27809.1
4032,63,0.142691,28256.9
4096,64,0.142693,28705
4160,65,0.142801,29131.4
4224,66,0.142826,29574.4
4288,67,0.142783,30031.6
4352,68,0.142772,30482.2
4416,69,0.142757,30933.7
4480,70,0.14273,31387.9
4544,71,0.142679,31847.7
4608,72,0.142636,32306
4672,73,0.142643,32753.1
4736,74,0.142632,33204.3
4800,75,0.142642,33650.7
4864,76,0.142636,34100.8
4928,77,0.142627,34551.7
4992,78,0.142631,34999.4
5056,79,0.142639,35446.1
5120,80,0.142633,35896.3
5184,81,0.142629,36346
5248,82,0.142644,36790.9
5312,83,0.142635,37241.9
5376,84,0.14263,37691.9
5440,85,0.142627,38141.4
5504,86,0.142624,38591
5568,87,0.142652,39032.1
5632,88,0.142642,39483.5
5696,89,0.142656,39928.2
5760,90,0.142648,40379.1
5824,91,0.142637,40830.9
5888,92,0.142633,41280.8
5952,93,0.142637,41728.3
6016,94,0.142635,42177.6
6080,95,0.142644,42623.6
6144,96,0.14264,43073.5
6208,97,0.142639,43522.5
6272,98,0.142652,43967.1
6336,99,0.142639,44419.8
6400,100,0.14266,44861.9
6464,101,0.142662,45309.9
6528,102,0.142662,45758.5
6592,103,0.142664,46206.5
6656,104,0.142649,46660
6720,105,0.142639,47111.9
6784,106,0.142646,47558.3
6848,107,0.142642,48008.3
6912,108,0.142633,48460
6976,109,0.142641,48906
7040,110,0.142663,49347.1
7104,111,0.142638,49804.4
7168,112,0.142628,50256.6
7232,113,0.142639,50701.4
7296,114,0.142635,51151.5
7360,115,0.142642,51597.7
7424,116,0.142625,52052.6
7488,117,0.142665,52486.6
7552,118,0.142638,52945.2
7616,119,0.142631,53396.5
7680,120,0.142641,53841.5
7744,121,0.142634,54292.8
7808,122,0.142645,54737.3
7872,123,0.142641,55187.5
7936,124,0.142647,55633.8
8000,125,0.142641,56084.9
8064,126,0.142666,56523.6
8128,127,0.142637,56983.8
8192,128,0.142626,57436.9
8256,129,0.142667,57869
8320,130,0.142745,58285.8
8384,131,0.142755,58730
8448,132,0.142754,59178.7
8512,133,0.142734,59635.4
8576,134,0.14275,60077.1
8640,135,0.142751,60525
8704,136,0.14273,60982.3
8768,137,0.14277,61413.5
8832,138,0.142765,61863.9
8896,139,0.14272,62331.8
8960,140,0.142728,62776.8
9024,141,0.142739,63220.3
9088,142,0.142755,63661.5
9152,143,0.142758,64108.5
9216,144,0.142748,64561.3
9280,145,0.142739,65013.8
9344,146,0.14277,65447.9
9408,147,0.142752,65904.5
9472,148,0.142729,66363.5
9536,149,0.142759,66797.9
9600,150,0.14274,67255.1
9664,151,0.142766,67691.2
9728,152,0.142725,68159
9792,153,0.142729,68605.5
9856,154,0.142759,69039.4
9920,155,0.142723,69505.3
9984,156,0.142747,69941.9
